,original_organization_name,new_organization_name,organization_status,summary_of_organization,ten_keywords_describing_organization,estimated_funding,source_estimated_funding,estimated_number_of_employees,source_estimated_number_of_employees
158,U.S. Postal Service,,['Not Active'],"The U.S. Postal Service (USPS) is an independent agency of the United States federal government responsible for providing postal service in the United States. However, this specific web domain has been found inactive.","['postal service', 'delivery', 'mail', 'government', 'logistics', 'communication', 'transportation', 'funding', 'independent', 'services']",N/A,N/A,N/A,N/A
159,Central Intelligence Agency,Central Intelligence Agency,['Not Active'],"The Central Intelligence Agency (CIA) is a civilian foreign intelligence service of the federal government of the United States tasked with gathering, processing, and analyzing national security information from around the world.","['intelligence', 'analysis', 'national security', 'government', 'foreign affairs', 'covert operations', 'espionage', 'intelligence community', 'counterterrorism', 'information gathering']",N/A,N/A,N/A,N/A
160,AFTAC/LSCSS,,Not Active,The organization is no longer active as indicated by the absence of information on its website.,[],N/A,N/A,N/A,N/A
161,Savannah River Nuclear Solutions (SRNS),,['Not Active'],Savannah River Nuclear Solutions was responsible for managing nuclear materials and waste at the Savannah River Site in South Carolina. The organization focused on the safe and efficient cleanup of contaminated sites and management of nuclear materials.,"['Nuclear', 'Waste Management', 'Environmental Cleanup', 'Safety', 'Regulatory Compliance', 'Decommissioning', 'Radioactive Materials', 'Sustainability', 'Public Health', 'Department of Energy']",N/A,N/A,N/A,N/A
162,Southwestern Power Administration,,Not Active,The Southwestern Power Administration was responsible for marketing and transmitting hydroelectric power generated by federal hydropower plants in the southwestern United States.,"['Hydropower', 'Electricity', 'Federal', 'Energy', 'Marketing', 'Transmission', 'Southwest', 'Administration', 'Power', 'Renewable']",Not Available,N/A,Not Available,N/A
163,"National Cancer Institute, NIH","National Cancer Institute, NIH",Active,"The Smokefree.gov website, operated by the National Cancer Institute, NIH, provides resources and support for individuals seeking to quit smoking or vaping. It offers various tools including personalized quit plans and information on managing cravings and withdrawal symptoms.","['smoking cessation', 'vaping', 'quit plan', 'health resources', 'addiction support', 'nicotine replacement', 'tobacco prevention', 'public health', 'National Cancer Institute', 'Federal Health Initiative']",Not publicly available,Federal budget allocations for health programs,Not publicly available,National Institutes of Health employment statistics
164,Centers for Disease Control and Prevention,,['Not Active'],"The Centers for Disease Control and Prevention (CDC) is a national public health institute and a federal agency under the Department of Health and Human Services dedicated to protecting public health and safety. However, as the website shows 'No information found', it is assumed that they may no longer be operating or that the domain is inactive.","['Public Health', 'Prevention', 'Disease Control', 'Health Promotion', 'Epidemiology', 'Surveillance', 'Infectious Diseases', 'Research', 'Community Health', 'Global Health']",N/A,N/A,N/A,N/A
165,Unicor,Unicor,['Active'],"UNICOR is a government program under the Bureau of Prisons that provides job training and work opportunities for inmates. It produces a wide range of products and services to support reentry efforts, helping offenders learn skills necessary for transitioning to society.","['Correctional Industry', 'Job Training', 'Inmate Rehabilitation', 'Federal Products', 'Workforce Development', 'Manufacturing', 'Supply Chain', 'Government Services', 'Electronics Recycling', 'Procurement']",Not applicable,N/A,12000,UNICOR website
166,Bureau of Global Public Affairs (GPA),Bureau of Global Public Affairs (GPA),Active,The Bureau of Global Public Affairs is responsible for communicating U.S. foreign policy to the public and advancing U.S. interests through public diplomacy.,"['Public Affairs', 'Diplomacy', 'Communication', 'Foreign Policy', 'Engagement', 'International Relations', 'Media Relations', 'Cultural Exchange', 'Information Dissemination', 'Global Outreach']",N/A,N/A,N/A,N/A
167,Department of the Treasury - DO,,['Not Active'],"The Department of the Treasury is a federal executive department responsible for managing government revenue, producing currency, and formulating economic policy. However, the specific division referenced is no longer active.","['finance', 'revenue', 'economics', 'currency', 'federal', 'treasury', 'policy', 'government', 'regulation', 'management']",N/A,N/A,N/A,N/A
168,Harry S. Truman Scholarship Foundation,Harry S. Truman Scholarship Foundation,['Active'],The Harry S. Truman Scholarship Foundation is a federal government agency that provides scholarships for college students who are committed to public service leadership. It supports recipients through mentorship and offers various programs aimed at developing future leaders in public service.,"['scholarship', 'public service', 'leadership', 'education', 'mentorship', 'Truman Scholars', 'awards', 'democracy fellows', 'community', 'support']","Exact funding not publicly available, but often receives federal appropriations.",Federal budget appropriations,Approximately 20,Federal agency personnel records
169,Selective Service System,Selective Service System,Active,"The Selective Service System is an independent agency of the U.S. government that maintains information on those eligible for military conscription. It ensures that, in the event of a national emergency, personnel can be rapidly mobilized for military service. The agency requires registration for nearly all male U.S. citizens and male immigrants aged 18 through 25.","['Selective Service', 'conscription', 'military readiness', 'registration', 'Department of Defense', 'peacekeeping', 'alternative service', 'civic duty', 'national security', 'youth registration']",Approx. $25 million annually,U.S. Government Budget,150,Selective Service System Annual Reports
170,SSA/OSOHE/Division of Network Engineering,Social Security Administration,['Active'],"The Social Security Administration (SSA) is a federal agency responsible for administering social security programs, including retirement, disability, and survivor benefits. It operates to enhance the security of the American public, improve service quality, and ensure the proper management of benefits.","['Social Security', 'Disability Benefits', 'Retirement', 'Federal Agency', 'Public Services', 'Financial Security', 'Customer Service', 'Benefit Management', 'Healthcare Services', 'Government Programs']",Unknown,Not specified in data,"Approximately 60,000",SSA official report
171,TVA IT,Tennessee Valley Authority,['Active'],"The TVA IT department provides information technology services and support to the Tennessee Valley Authority, which is a federally owned corporation that provides electricity for business customers and local power distributors in the Tennessee Valley region.","['Tennessee Valley Authority', 'Information Technology', 'Electricity', 'Federal Corporation', 'Support Services', 'Knoxville', 'Sustainability', 'Infrastructure', 'Public Power', 'Regional Development']",Approximately $11 billion (based on TVA's annual budget),Tennessee Valley Authority Budget Reports,"Approximately 10,000",Tennessee Valley Authority Human Resources Reports
172,M/CIO,U.S. Agency for International Development,['Active'],"The U.S. Agency for International Development (USAID) is an independent agency of the U.S. federal government that is primarily responsible for administering civilian foreign aid and development assistance. It aims to promote economic development, improve health and education, and provide humanitarian aid during crises.","['International Development', 'Foreign Aid', 'Humanitarian Assistance', 'Economic Growth', 'Health', 'Education', 'Disaster Relief', 'Sustainable Development', 'Global Partnerships', 'Capacity Building']",$27.5 billion (2021),Agency Budget Reports,"10,000+",USAID Human Resources
173,Office of Technology Services,Federal Retirement Thrift Investment Board,['Active'],"The Federal Retirement Thrift Investment Board manages the Thrift Savings Plan (TSP), a retirement savings plan for federal employees and members of the Uniformed Services, providing investment options and resources for retirement planning.","['Retirement', 'Thrift Savings Plan', 'Federal Employees', 'Investment', 'Financial Planning', 'Savings', 'Pension', 'Federal Government', 'Benefits', 'Financial Education']",Not publicly available,N/A,Approximately 100,Federal government data
174,John C. Stennis Center for Public Service,John C. Stennis Center for Public Service,['Active'],"The Stennis Center for Public Service is a bipartisan legislative branch agency created by Congress in 1988, aimed at promoting and strengthening the ideals of public service in America. It develops and runs various programs targeting young individuals, local, state, and federal leaders, as well as congressional staff to encourage participation in public service careers.","['Public Service', 'Education', 'Training', 'Youth Programs', 'Bipartisan', 'Legislative Agency', 'Civic Engagement', 'Congressional Training', 'Leadership Development', 'Community Service']",Not available,N/A,Not available,N/A
175,US Senate,US Senate,['Active'],"The US Senate is one of the two chambers of the United States Congress, responsible for making federal laws, representing the states, and providing advice and consent on federal appointments and treaties.","['Legislative', 'Government', 'Federal', 'Congress', 'Senators', 'Policy', 'Lawmaking', 'Representation', 'Committees', 'Legislation']",N/A,N/A,N/A,N/A
176,USPTO,USPTO,Active,"The United States Patent and Trademark Office (USPTO) is a federal agency responsible for granting patents and registering trademarks. It promotes innovation and protects intellectual property rights by providing services and resources to inventors, entrepreneurs, and businesses.","['Intellectual Property', 'Patents', 'Trademarks', 'Innovation', 'Legal Assistance', 'Entrepreneurship', 'Regulatory', 'Federal Agency', 'Copyright', 'International Cooperation']",$3.5 billion (FY 2024),USPTO Budget Submission FY 2024,"13,000",USPTO Workforce Information
177,Western Area Power Administration,,['Active'],"The Western Area Power Administration (WAPA) is a federal agency under the Department of Energy that markets and delivers reliable, cost-based hydropower and transmission services. It serves more than 684 wholesale power customers, including cities, rural electric cooperatives, and tribes, managing power sales, transmission operations, and maintenance across multiple states.","['Hydropower', 'Transmission', 'Cost-based', 'Federal', 'Energy', 'Power Marketing', 'Reliability', 'Sustainability', 'Customer Service', 'Renewable Energy']",Approximately $1.066 billion for FY 2025,Official Budget Request from WAPA for Fiscal Year 2025,"Approximately 1,200",U.S. Department of Energy employment data
178,Bureau of Reclamation,Bureau of Reclamation,['Active'],"The Bureau of Reclamation is a federal agency under the Department of the Interior that manages water resources in the Western United States, focusing on the development, management, and conservation of water and related resources. It plays a crucial role in aiding agricultural, municipal, and industrial water supplies while also focusing on environmental sustainability.","['Water Management', 'Resource Conservation', 'Infrastructure', 'Dams', 'Irrigation', 'Hydropower', 'Environmental Sustainability', 'Public Engagement', 'Research and Development', 'Climate Resilience']",$1.5 billion (2024 budget estimate),U.S. Bureau of Reclamation Budget Documents,"5,000",Federal Agency Employment Statistics
179,U.S. Geological Survey,U.S. Geological Survey,Active,"The U.S. Geological Survey (USGS) is a scientific agency of the United States government that provides reliable scientific information about the Earth, its natural resources, and the natural hazards that threaten it. The USGS's mission includes monitoring and assessing natural resources, understanding ecosystem interactions, and providing guidance on public safety in relation to natural disasters.","['Earth sciences', 'natural hazards', 'environmental monitoring', 'geospatial data', 'water resources', 'ecosystems', 'climate change', 'public safety', 'scientific research', 'resource management']",Approximately $1.1 billion (FY 2024),U.S. Department of the Interior Budget,"Over 8,000",USGS Human Resources
180,National Park Service,,['Not Active'],The National Park Service was a federal agency responsible for managing national parks and protected areas in the United States.,"['National Parks', 'Conservation', 'Recreation', 'Public Lands', 'Historical Sites', 'Tourism', 'Environmental Education', 'Wildlife Protection', 'Cultural Heritage', 'Outdoor Activities']",N/A,N/A,N/A,N/A
181,Department of the Treasury - U.S. Mint,Department of the Treasury - U.S. Mint,['Active'],"The U.S. Mint, part of the Department of the Treasury, is responsible for producing coinage for the United States. This includes manufacturing circulating coins, numismatic products, and ruling on the design and composition of these products. The Mint also provides coin and medal programs for collectors, tours, and educational resources about coins.","['coinage', 'currency', 'numismatics', 'circulating coins', 'medals', 'production', 'Treasury', 'history', 'collector', 'education']",Not publicly available data,Federal budget appropriations,"Approx. 2,000",U.S. Mint official reports
182,TCS,,['Not Active'],The organization appears to be inactive as no information could be found on their website.,[],,,,
183,"Office of Information and Technology, IT Operations and Services (ITOPS)","Office of Information and Technology, IT Operations and Services (ITOPS)",['Active'],"The Office of Information and Technology, IT Operations and Services (ITOPS) is part of the Department of Veterans Affairs, responsible for managing and overseeing information technology operations and services to support veterans in accessing their benefits and healthcare services.","['Veterans', 'Information Technology', 'Healthcare', 'Benefits', 'Support', 'IT Operations', 'Government', 'Services', 'Accessibility', 'VA']",Not available,Not applicable,Not available,Not applicable
184,United States Trade Representative,United States Trade Representative,['Active'],"The United States Trade Representative (USTR) is the principal trade advisor, negotiator, and spokesperson on U.S. trade issues. Their mission is to promote and enhance the economic interests of the United States by crafting a worker-centered trade policy that fosters inclusive prosperity. They manage trade negotiations, enforce trade agreements, and develop trade policies that align with national interests.","['Trade', 'Negotiation', 'Policy', 'International', 'Economy', 'Advocacy', 'Investment', 'Tariffs', 'Labor', 'Commerce']",N/A,N/A,N/A,N/A
185,ASCD-CIO,U.S. Commission on Civil Rights,['Active'],"The U.S. Commission on Civil Rights is a federal agency established to inform the development of national civil rights policy and laws through research, analysis, and recommendations. The Commission conducts hearings, issues reports, and provides a platform for public input on civil rights issues.","['civil rights', 'federal agency', 'policy development', 'research', 'community engagement', 'reporting', 'advisory committees', 'discrimination', 'advocacy', 'justice']",N/A,N/A,N/A,N/A
186,U.S. Department of Agriculture,U.S. Department of Agriculture,['Active'],"The U.S. Department of Agriculture (USDA) is a federal executive department responsible for developing and executing federal government policy on farming, agriculture, forestry, and food. It serves millions of Americans by providing various services including nutrition assistance, support for rural development, and resources for farmers and ranchers.","['Agriculture', 'Nutrition', 'Rural Development', 'Food Security', 'Conservation', 'Research', 'Farming', 'Community Assistance', 'Climate Change', 'Financial Opportunities']",Approximately $150 billion,U.S. Department of Agriculture Budget Overview,"Approximately 100,000",U.S. Department of Agriculture Employment Reports
187,VOA,VOA,Active,"Voice of America (VOA) is the U.S. government's international broadcaster, providing news and information in multiple languages. It aims to inform, educate, and engage audiences worldwide through various multimedia platforms, promoting a greater understanding of the United States and global events.","['International Broadcasting', 'News', 'Multimedia', 'Information', 'U.S. Government', 'Global Events', 'Education', 'Engagement', 'Press Freedom', 'Cultural Exchange']",Approximately $240 million annually (based on federal budget allocations),U.S. Federal Budget,"Approximately 1,000",U.S. Agency for Global Media reports
188,U.S. Global Change Research Program,,['Not Active'],The U.S. Global Change Research Program was a federal government initiative focusing on understanding and addressing climate change and its impacts in the United States. It coordinated research efforts across various scientific disciplines to provide essential data and insights.,"['climate change', 'research', 'federal', 'environment', 'global change', 'climate science', 'policy', 'data analysis', 'sustainability', 'interagency cooperation']",Not available,Not available,Not available,Not available
189,OCIO,United States International Trade Commission,Active,"The United States International Trade Commission (USITC) is an independent, quasi-judicial federal agency that investigates matters related to trade policy, assists domestic industries in navigating trade laws, and conducts analyses on the impact of international trade on the U.S. economy. The agency plays a critical role in enforcing U.S. trade laws, including antidumping and countervailing duty investigations, and provides technical assistance to the President and Congress on trade-related issues.","['International Trade', 'Tariffs', 'Investigations', 'Economic Analysis', 'Trade Policy', 'Antidumping', 'Countervailing Duty', 'Trade Competitiveness', 'Intellectual Property Rights', 'Quasi-Judicial']",Not publicly disclosed,USITC Budget Reports,Approximately 300,USITC Organizational Chart
190,U.S. Postal Service,United States Postal Inspection Service,['Active'],"The United States Postal Inspection Service (USPIS) is the federal law enforcement agency that protects the U.S. Postal Service and its customers. It investigates crimes related to mail and postal activities including fraud, identity theft, and threats to the security of the mail system.","['Postal Inspection', 'Crime Prevention', 'Identity Theft', 'Mail Fraud', 'Cybercrime', 'Safety Tips', 'Federal Law Enforcement', 'Emergency Response', 'Public Awareness', 'Community Outreach']",$300 million,Federal Budget Reports,"1,200",U.S. Postal Inspection Service Human Resources
191,U.S. Postal Service,,['Not Active'],The United States Postal Service (USPS) was an independent agency of the U.S. federal government responsible for providing postal services in the United States.,"['Postal Service', 'Mail Delivery', 'Federal Agency', 'Shipping', 'Logistics', 'Correspondence', 'Public Service', 'Mailing', 'Community Services', 'Delivery']",N/A,N/A,N/A,N/A
192,U.S. Courts,U.S. Courts,['Active'],"The U.S. Courts is the federal judiciary system of the United States, responsible for interpreting laws, administering justice, and ensuring the rule of law within the federal legal framework. The organization provides various resources, educational materials, and support services for the public and legal professionals.","['Judicial', 'Federal', 'Legal', 'Justice', 'Administration', 'Public Service', 'Court Services', 'Education', 'Governance', 'Oversight']",N/A,N/A,N/A,N/A
193,United States Sentencing Commission,,['Not Active'],"The United States Sentencing Commission was established to create sentencing guidelines for federal courts in order to promote uniformity and fairness in sentencing practices. However, the website indicates that the organization may no longer be active.","['Sentencing', 'Judicial', 'Uniformity', 'Guidelines', 'Federal', 'Justice', 'Commission', 'Policy', 'Law', 'Administration']",Not available,Not applicable,Not available,Not applicable
194,Office of Legacy Management,,Not Active,"The Office of Legacy Management was responsible for managing the Department of Energy's legacy sites and ensuring safety and compliance with environmental regulations. However, as the website shows no information, it is presumed to be inactive.","['Legacy Management', 'Environmental Compliance', 'Safety Management', 'Department of Energy', 'Federal Agency', 'Las Vegas', 'Nuclear Sites', 'Environmental Protection', 'Regulatory Oversight', 'Waste Management']",Not Available,Not Available,Not Available,Not Available
195,Executive Office of the President,Office of National Drug Control Policy,['Active'],"The Office of National Drug Control Policy (ONDCP) is a component of the Executive Office of the President. ONDCP leads and coordinates the nation's drug policy, focusing on improving the health and lives of Americans. It is responsible for the development and implementation of the National Drug Control Strategy and Budget, overseeing a significant budget to address addiction and the overdose epidemic.","['drug policy', 'addiction', 'overdose', 'national strategy', 'health', 'federal agencies', 'funding', 'community support', 'public health', 'rehabilitation']",$41 billion,Government Budget Reports,Not Specified,Not Provided
196,White House,White House,['Active'],"The White House serves as the official residence and workplace of the President of the United States. It is the center of the executive branch of the U.S. government, housing the President, Vice President, and their senior staff. The White House is involved in governing the nation, shaping policy, and engaging with the public and international community.","['Executive', 'Government', 'Administration', 'Policy', 'Public Engagement', 'Biden-Harris', 'National Security', 'Cabinet', 'Infrastructure', 'Crisis Management']",Not Disclosed,Federal Budget Allocations,Estimated 400,U.S. Office of Personnel Management
197,National Institute of Standards and Technology,National Institute of Standards and Technology,Active,"The National Institute of Standards and Technology (NIST) is a federal agency within the Department of Commerce that promotes innovation and industrial competitiveness by advancing measurement science, standards, and technology. NIST works to develop, maintain, and disseminate standards that enhance both economic security and quality of life.","['measurement science', 'standards', 'innovation', 'technology', 'federal agency', 'industrial competitiveness', 'calibration services', 'public safety', 'research', 'entrepreneurship']",Approximately $1 billion (2023),NIST Budget Reports,"Approximately 3,000",NIST Human Resources Department
198,National Institute of Standards and Technology,National Institute of Standards and Technology,Active,"The National Institute of Standards and Technology (NIST) is a federal agency that develops and promotes measurement standards to enhance innovation and industrial competitiveness. NIST is involved in various sectors including cybersecurity, materials science, and advanced manufacturing, among others. It provides essential support through standards, guidelines, and policies that help ensure accuracy and reliability in various technologies and processes.","['standards', 'measurement', 'technology', 'innovation', 'research', 'cybersecurity', 'manufacturing', 'metrology', 'regulatory', 'quality assurance']",$1 billion,Congressional appropriations,"3,500",NIST human resources reports
199,Office of Technology Services,Federal Retirement Thrift Investment Board,['Active'],The Federal Retirement Thrift Investment Board (FRTIB) administers the Thrift Savings Plan (TSP) for current and former federal employees and members of the uniformed services. Their mission is to help participants prepare for retirement through effective investment management and to improve overall retirement outcomes.,"['Retirement', 'Investment', 'Thrift Savings Plan', 'Federal Employees', 'Uniformed Services', 'Financial Management', 'Participant Satisfaction', 'Defined Contribution', 'Career Opportunities', 'Strategic Planning']",Not publicly available,Not specified in the provided data,Not publicly available,Not specified in the provided data
200,Division of Consumer Response & Operations (DCRO),Federal Trade Commission (FTC),['Active'],"The Division of Consumer Response & Operations operates under the Federal Trade Commission (FTC), which is dedicated to protecting consumers and promoting competition by enforcing federal laws that prevent unfair and deceptive business practices. The FTC's mission encompasses law enforcement, research, and educational outreach on consumer issues.","['Consumer Protection', 'Competition', 'Enforcement', 'Regulation', 'Fraud', 'Legal Guidance', 'Advocacy', 'Research', 'Education', 'Fair Trade']",N/A,N/A,N/A,N/A
201,"President's Council on Bioethics, Office of the Secretary",,['Not Active'],"The President's Council on Bioethics was established to advise the President on bioethical issues emerging from advances in biomedical science and technology. However, due to inactivity, it appears that the council is no longer operating.","['Bioethics', 'Advisory', 'Healthcare', 'Policy', 'Biomedical', 'Ethical Issues', 'Technology', 'Public Health', 'Research', 'Presidential Council']",Not Available,N/A,Not Available,N/A
202,Office of Information Resources Management,National Endowment for the Humanities,['Active'],"The National Endowment for the Humanities (NEH) is an independent federal agency that supports the humanities across the United States. Established in 1965, NEH funds projects and initiatives that advance the study and preservation of the humanities, offering grants to museums, historic sites, universities, and scholars. NEH has awarded over $6 billion to various projects nationwide, promoting education and public programming in the humanities.","['Humanities', 'Grants', 'Federal agency', 'Cultural initiatives', 'Education', 'Research', 'Preservation', 'Public programming', 'Funding opportunities', 'Community engagement']",Over $6 billion awarded since 1965,NEH official website,Not specified,NEH official website
203,"GSA, CIO.GOV",CIO Council,Active,"CIO.gov serves as a platform for the CIO Council, which is a forum comprised of Federal Chief Information Officers aimed at improving IT practices across U.S. Government agencies. The site shares key technology policies, news, and information on programs and events sponsored by the Council.","['IT Governance', 'Federal CIOs', 'Technology Policies', 'Cybersecurity', 'Cloud Services', 'Data Management', 'Digital Transformation', 'Federal Agencies', 'IT Workforce Development', 'Technology Innovation']",Not publicly available,Not specified,Not publicly available,Not specified
204,Centers for Medicare and Medicaid Services,Centers for Medicare and Medicaid Services,Active,The Centers for Medicare and Medicaid Services (CMS) administers the nation's major healthcare programs including Medicare and Medicaid. It provides essential information and support to beneficiaries and partners in health coverage.,"['Healthcare', 'Medicare', 'Medicaid', 'Insurance', 'Beneficiaries', 'Health Programs', 'Enrollment', 'Prescription Drugs', 'Providers', 'Regulatory']",Approximately $1 trillion annually (combined Medicare and Medicaid funding),CMS Budget Documents,"Approximately 4,500",CMS Organizational Structure Reports
205,Supreme Court of the United States,,['Not Active'],"The Supreme Court of the United States was the highest court in the federal judiciary of the United States, responsible for interpreting the Constitution and federal law. As it is no longer active, it does not perform judicial functions.","['Supreme Court', 'Judicial', 'Federal', 'Constitution', 'Law', 'Judiciary', 'Justice', 'Court', 'Appeals', 'Legal']",N/A,N/A,N/A,N/A
206,U.S. Chemical Safety and Hazard Investigation Board,U.S. Chemical Safety Board,['Active'],"The U.S. Chemical Safety Board (CSB) is an independent, nonregulatory federal agency dedicated to investigating the causes of major chemical incidents. Established under the Clean Air Act Amendments of 1990, the CSB aims to enhance chemical safety through thorough investigations and recommendations, thereby safeguarding people and the environment.","['chemical safety', 'investigation', 'federal agency', 'hazard analysis', 'safety recommendations', 'incident response', 'environmental protection', 'nonregulatory', 'Clean Air Act', 'safety improvements']",Approximately $12 million annually,CSB Budget Requests and Strategic Plans,Approximately 30 employees,CSB Organizational Directory
207,USPS Office of Inspector General,USPS Office of Inspector General,Active,"The USPS Office of Inspector General (OIG) is an independent agency responsible for the oversight and auditing of the United States Postal Service. Its mission is to protect the Postal Service from fraud, waste, and abuse while promoting efficiency and integrity within its operations.","['Oversight', 'Fraud Prevention', 'Waste Management', 'Audit', 'Integrity', 'USPS', 'Investigations', 'Accountability', 'Government', 'Postal Service']",Not publicly available,N/A,Not publicly available,N/A
208,Medicare Payment Advisory Commission,Medicare Payment Advisory Commission,['Not Active'],The Medicare Payment Advisory Commission (MedPAC) was established to advise the Congress on Medicare issues. Its primary functions included analyzing the Medicare program and making recommendations to improve the quality and efficiency of care provided to Medicare beneficiaries.,"['Medicare', 'Advisory', 'Commission', 'Healthcare', 'Legislation', 'Reimbursement', 'Policy Analysis', 'Beneficiaries', 'Efficiency', 'Regulations']",Not Available,Not Applicable,Not Available,Not Applicable
209,Recreation One Stop,,['Active'],"Recreation One Stop is an initiative that provides comprehensive information about recreational opportunities, including camping, hiking, fishing, and other outdoor activities in the U.S. National Parks and other federal lands.","['Recreation', 'Outdoor', 'Federal', 'National Parks', 'Camping', 'Hiking', 'Fishing', 'Tourism', 'Conservation', 'Community Engagement']",N/A,N/A,N/A,N/A
210,United States Holocaust Memorial Museum,,['Not Active'],"The United States Holocaust Memorial Museum is a national museum dedicated to documenting, studying, and interpreting the history of the Holocaust.","['Holocaust', 'Museum', 'Education', 'Memorial', 'History', 'Survivors', 'Research', 'Exhibits', 'Commemoration', 'Testimony']",Unknown,N/A,Unknown,N/A
211,Social Security Advisory Board,Social Security Advisory Board,['Active'],"The Social Security Advisory Board is a bipartisan board established to provide advice and recommendations to the President, Congress, and the Commissioner of Social Security regarding the Social Security and Supplemental Security Income programs. The Board consists of up to seven members appointed by Congress and the White House, supported by professional staff, and engages in various activities including research and public outreach.","['Social Security', 'Advisory Board', 'Bipartisan', 'Policy Recommendations', 'Supplemental Security Income', 'Research', 'Government', 'Funding', 'Public Awareness', 'Board Members']",Not available,N/A,Approximately 20,Government Accountability Office (GAO)
212,Department of the Treasury - OCIO,,['Not Active'],"The Office of the Chief Information Officer (OCIO) for the Department of the Treasury was responsible for overseeing the Department's information technology strategy, implementation, and resources. However, as there is no current information available, it appears to be inactive.","['Treasury', 'Information Technology', 'Chief Information Officer', 'Government', 'Telecommunications', 'Cybersecurity', 'Data Management', 'Federal', 'Policy Development', 'Operational Efficiency']",N/A,N/A,N/A,N/A
213,Agency for Healthcare Research and Quality,,Active,"The Agency for Healthcare Research and Quality (AHRQ) is a federal agency focused on improving healthcare quality, safety, efficiency, and effectiveness through research and information dissemination.","['healthcare', 'research', 'quality', 'safety', 'efficiency', 'effectiveness', 'improvement', 'information', 'policy', 'support']",$500 million (approx.),Federal budget for Health and Human Services,300,Agency's organizational records
214,Agency for Healthcare Research and Quality,Agency for Healthcare Research and Quality,['Active'],"The Agency for Healthcare Research and Quality (AHRQ) is a federal agency under the Department of Health and Human Services focused on improving the quality, safety, efficiency, and effectiveness of healthcare for all Americans. It aims to produce evidence to make healthcare safer, higher quality, more accessible, equitable, and affordable, and to ensure that the evidence is understood and used.","['healthcare', 'research', 'quality', 'safety', 'efficiency', 'effectiveness', 'evidence-based', 'policy', 'patient care', 'improvement']",$500 million,FY2022 AHRQ Budget,300,AHRQ Organizational Structure
215,American Battle Monuments Commission,American Battle Monuments Commission,['Active'],The American Battle Monuments Commission honors the services of overseas U.S. armed forces by maintaining and promoting America's overseas commemorative cemeteries and memorials. It provides educational resources and commemorative experiences related to American military history.,"['commemoration', 'cemeteries', 'memorials', 'education', 'military', 'history', 'overseas', 'veterans', 'sacrifice', 'honor']",Not publicly available,Official government budget reports,Not publicly available,Office of Personnel Management data
216,Federal Reserve Bank,Federal Reserve Board of Governors,Active,"The Federal Reserve Board of Governors governs the Federal Reserve System, the central bank of the United States. It oversees monetary policy, regulation of banks, and financial stability in the nation, ensuring a stable financial system.","['Monetary Policy', 'Financial Stability', 'Regulation', 'Central Bank', 'Economic Research', 'Banking Supervision', 'Consumer Protection', 'Payment Systems', 'Community Development', 'Interest Rates']",N/A,N/A,N/A,N/A
217,Federal Executive Board,Federal Executive Boards,['Active'],"The Federal Executive Boards (FEBs) are organized into 26 boards across four regions in the United States. They serve as a link between the federal government and local communities, supporting federal employees who work outside of Washington, D.C. The FEBs focus on streamlining government functions and fostering collaboration between agencies and communities.","['federal', 'collaboration', 'community', 'government', 'regional', 'streamlining', 'initiatives', 'representation', 'employees', 'officials']",Not Available,N/A,Not Available,N/A
218,"GSA,FAS,Technology Transformation Service",Plain Language Action and Information Network (PLAIN),Active,"The Plain Language Action and Information Network (PLAIN) is a community of federal employees dedicated to promoting clear communication from government agencies. PLAIN seeks to ensure that government writings are understandable and accessible to the public, following guidelines established by the Plain Writing Act.","['Plain Language', 'Communication', 'Federal Employees', 'Public Understanding', 'Training Resources', 'Guidelines', 'Regulations', 'Community', 'Transparency', 'Clarity']",N/A,N/A,N/A,N/A
219,National Indian Gaming Commission,National Indian Gaming Commission,['Active'],"The National Indian Gaming Commission (NIGC) is responsible for regulating gaming activities on Indian lands, ensuring compliance with the Indian Gaming Regulatory Act. It provides oversight and support for tribal gaming operations while promoting responsible gaming practices and protecting tribal sovereignty.","['Indian Gaming', 'Regulation', 'Tribal Sovereignty', 'Compliance', 'Gaming Revenue', 'Oversight', 'Training', 'Public Hearings', 'Enforcement Actions', 'Legal Opinions']",Not Specified,N/A,Not Specified,N/A
220,SSA/OSOHE/Division of Network Engineering,Social Security Administration,Active,"The Social Security Administration (SSA) oversees the nation's social insurance program, which includes retirement, disability, and Medicare benefits. The agency provides services and support to millions of Americans through various programs and ensures their financial stability in times of need.","['Social Security', 'Benefits', 'Retirement', 'Disability', 'Medicare', 'SSI', 'Financial Assistance', 'Customer Service', 'Government Agency', 'Federal Programs']",Approximately $1 trillion annually,U.S. Government Budget,"60,000",U.S. Social Security Administration
221,Department of Justice,Department of Justice,['Active'],"The Department of Justice (DOJ) is a federal executive department of the United States government responsible for the enforcement of the law and administration of justice. Its mission is to uphold the rule of law, keep the country safe, and protect civil rights, working independently and impartially for the public's trust.","['law enforcement', 'civil rights', 'justice', 'public safety', 'ethical standards', 'integrity', 'independence', 'litigation', 'grants', 'community service']",$32 billion,Federal Budget Reports,"115,000",DOJ Personnel Statistics
222,Small Agency Council,Small Agency Council,['Active'],The Small Agency Council is a collaborative organization that aims to improve management and operational efficiencies among federal small agencies through shared resources and best practices.,"['Small Agency Council', 'Federal', 'Management', 'Efficiency', 'Collaboration', 'Resources', 'Best Practices', 'Shared Services', 'Government', 'Executive']",Not Available,N/A,Not Available,N/A
